address,protocol_type,label,protocol
0xdffe798c7172dd6deb32baee68af322e8f495ce0,dex,assetProxyOwner,0x
0x38a795580d0f687e399913a00ddef6a17612c722,dex,coordinator,0x
0x45797531b873fd5e519477a070a955764c1a5b07,dex,coordinatorRegistry,0x
0x7eefbd48fd63d441ec7435d024ec7c5131019add,dex,erc1155Proxy,0x
0x8ed95d1746bf1e4dab58d8ed4724f1ef95b20db0,dex,erc20BridgeProxy,0x
0x95e6f48254609a6ee006f7d493c8e5fb97094cef,dex,erc20Proxy,0x
0xefc70a1b18c432bdc64b596838b4d138f6bc6cad,dex,erc721Proxy,0x
0x61935cbdd02287b511119ddb11aeb42f1593b7ef,dex,exchange,0x
0xdef1c0ded9bec7f1a1670819833240f027b25eff,dex,exchangeProxy,0x
0x080bf510fcbf18b91105470639e9561022937712,dex,exchangeV2,0x
0xef701d5389ae74503d633396c4d654eabedc9d78,dex,multiAssetProxy,0x
0x2a17c35ff147b32f13f19f2e311446eeb02503f3,dex,staking,0x
0xa26e80e7dea86279c6d778d702cc413e6cffa777,dex,stakingProxy,0x
0x3517b88c19508c08650616019062b898ab65ed29,dex,staticCallProxy,0x
0x7d3455421bbc5ed534a83c88fd80387dc8271392,dex,zeroExGovernor,0x
0xe41d2489571d322189246dafa5ebde1f4699f498,dex,zrxToken,0x
0xba7f8b5fb1b19c1211c5d49550fcd149177a5eaf,dex,zrxVault,0x
0xc586bef4a0992c495cf22e1aeee4e446cecdee0e,dex,Aggregation Protocol ( 1split.eth),1inch
0x50fda034c0ce7a8f7efdaebda7aa7ca21cc1267e,dex,Aggregation Protocol (1proto.eth),1inch
0x11111112542d85b3ef69ae05771c2dccff4faa26,dex,Aggregation Router V3,1inch
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,dex,CHI token,1inch
0xee262adcd9ecc0476452e302cf3c822f634dafaf,dex,Cumulative Merkle Drop,1inch
0x07d91f5fb9bf7798734c3f606db065549f6893bb,dex,DEX Oracle,1inch
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,dex,Deployer of Aggregation Protocol,1inch
0x68a17b587caf4f9329f0e372e3a78d23a46de6b5,dex,Deployer of Mooniswap Factory,1inch
0xee4f7b6c39e7e87af01fb9e4cee0c893ff4d63f2,dex,Deployer of contractAddress V3,1inch
0x514df5293aa7ca53c05d79c37b836596c4abf687,dex,Exchange Deployer,1inch
0x7e1e3334130355799f833ffec2d731bca3e68af6,dex,Exchange Deployer 2,1inch
0xb33839e05ce9fc53236ae325324a27612f4d110d,dex,Exchange Governance,1inch
0xd5c5c41248f949fce678a7f1619bcea7872c93ef,dex,Exchange Governance,1inch
0x2eea44e40930b1984f42078e836c659a12301e40,dex,Fee Collector,1inch
0xc61f21d7e40c5024f6f0d8b711b76802a1300637,dex,FixedFeeSwap,1inch
0x40bbde0ec6f177c4a67360d0f0969cfc464b0bb4,dex,FixedRateSwap,1inch
0xa0446d8804611944f1b527ecd37d7dcbe442caba,dex,Governance Mothership,1inch
0x0f85a912448279111694f4ba4f85dc641c54b594,dex,Governance Rewards,1inch
0x3ef51736315f52d568d6d2cf289419b9cfffe782,dex,Limit Order Protocol,1inch
0xcb06df7f0be5b8bb261d294cf87c794eb9da85b1,dex,Liquidity Protocol Deployer,1inch
0xbaf9a5d4b0052359326a6cdab54babaa3a3a9643,dex,Liquidity Protocol Factory,1inch
0x71cd6666064c3a1354a3b4dca5fa1e2d3ee7d303,dex,Mooniswap Factory,1inch
0xbfc22e3b81bddc185eb7c50765a9f445589a12ae,dex,MultiKyber wrapper,1inch
0x11799622f4d98a24514011e8527b969f7488ef47,dex,Network Deployer,1inch
0x111111125434b319222cdbf8c261674adb56f3ae,dex,Network v2,1inch
0xae00455eac003408a2f10e895fbc6c6445535d56,dex,Network: Deployer 2,1inch
0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,dex,Owner,1inch
0x111111111117dc0aa78b770fa6a738034120c302,dex,Token,1inch
0x11111254369792b2ca5d084ab5eea397ca8fa48b,dex,exchange,1inch
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,dex,exchange v2: Router,1inch
0xe295ad71242373c37c5fda7b57f26f9ea1088afe,dex,exchange: Airdrop,1inch
0x5fe3b8b19949c04da3f578c6468f3d444cd7a9bb,dex,exchange: Deployer,1inch
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,dex,v3 Router,1inch
0x1111111254fb6c44bac0bed2854e76f90643097d,dex,v4 Router,1inch
0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,lending,Aave Collector,aave
0xca76ebd8617a03126b6fb84f9b1c1a0fb71c2633,lending,Emergency Admin,aave
0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,lending,IncentivesController,aave
0x398ec7346dcd622edc5ae82352f02be94c62d119,lending,LendingPool,aave
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,lending,LendingPool,aave
0x24a42fd28c976a61df5d00d0599c34c4f90748c8,lending,LendingPoolAddressesProvider,aave
0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,lending,LendingPoolAddressesProvider,aave
0x52d306e36e3b6b02c153d0266ff0f85d18bcd413,lending,LendingPoolAddressesProviderRegistry,aave
0xbd4765210d4167ce2a5b87280d9e8ee316d5ec7c,lending,LendingPoolCollateralManager,aave
0x311bb771e4f8952e6da169b425e7e92d6ac45756,lending,LendingPoolConfigurator,aave
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,lending,LendingPoolCore,aave
0x8a32f49ffba88aba6eff96f45d8bd1d4b3f35c7d,lending,LendingRateOracle,aave
0xee56e2b3d491590b5b31738cc34d5232f378a8d5,lending,Pool Admin,aave
0xa50ba011c48153de246e5192c8f9258a2ba79ca9,lending,Price Oracle,aave
0x057835ad21a177dbdd3090bb1cae03eacf78fc6d,lending,ProtocolDataProvider,aave
0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,lending,WETHGateway,aave
0xffc97d72e13e01096502cb8eb52dee56f74dad7b,lending,aAAVE,aave
0x272f97b7a56a387ae942350bbc7df5700f8a4576,lending,aBAL,aave
0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,lending,aBAT,aave
0xa361718326c15715591c299427c62086f69923d9,lending,aBUSD,aave
0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,lending,aCRV,aave
0x028171bca77440897b824ca71d1c56cac55b68a3,lending,aDAI,aave
0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,lending,aENJ,aave
0xd37ee7e4f452c6638c96536e68090de8cbcdb583,lending,aGUSD,aave
0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,lending,aKNC,aave
0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,lending,aLINK,aave
0xa685a61171bb30d4072b338c80cb7b2c865c873e,lending,aMANA,aave
0xc713e5e149d5d0715dcd1c156a020976e7e56b88,lending,aMKR,aave
0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a,lending,aREN,aave
0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,lending,aSNX,aave
0x6c5024cd4f8a59110119c56f8933403a539555eb,lending,aSUSD,aave
0x101cc05f4a51c0319f570d5e146a8c625198e636,lending,aTUSD,aave
0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,lending,aUNI,aave
0xbcca60bb61934080951369a648fb03df4f96263c,lending,aUSDC,aave
0x3ed3b47dd13ec9a98b44e6204a523e766b225811,lending,aUSDT,aave
0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,lending,aWBTC,aave
0x030ba81f1c18d280636f32af80b9aad02cf0854e,lending,aWETH,aave
0xf256cc7847e919fac9b808cc216cac87ccf2f47a,lending,aXSUSHI,aave
0x5165d24277cd063f5ac44efd447b27025e888f37,lending,aYFI,aave
0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,lending,aZRX,aave
0xec568fffba86c094cf06b22134b23074dfe2252c,assets,aaveGovernanceV2,aave
0xd2174d78637a40448112aa6b30f9b19e6cf9d1f9,assets,aaveRaiPCVDeposit,aave
0x3472a5a71965499acd81997a54bba8d852c6e53d,assets,BADGER,badger
0x4441776e6a5d61fa024a5117bfc26b953ad1f425,assets,DAO_treasury,badger
0x798d1be841a82a273720ce31c822c61a67a601c3,assets,DIGG,badger
0xddb2dfad74f64f14bb1a1cbab9c03bc0eed74493,assets,GatedMiniMeController,badger
0x4fe70ee8fa906d59a88de5946f114bdbfc410a80,assets,KeeperAccessControl,badger
0x626f69162ea1556a75dd4443d87d2fe38dd25901,assets,OLD_root-validator,badger
0x0bb87f40d4eb6066a2311b7be3b45a3d15771557,assets,StrategyConvexStakingOptimizer,badger
0x76328277232c97baf76d23a69015cb478293a048,assets,StrategyCvxCrvHelper,badger
0x9a12a9141363a5b343b781c4951d42e327b89397,assets,StrategyCvxHelper,badger
0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28,assets,bBADGER,badger
0x53c8e199eb2cb7c01543c137078a038937a68e40,assets,bCVX,badger
0x7e7e112a68d8d2e221e11047a72ffc1065c38e1a,assets,bDIGG,badger
0x26b8efa69603537ac8ab55768b6740b67664d518,assets,bFpMbtcHbtc,badger
0x80348f4430f80b69f8f893b0f0d658e2e7053c1a,assets,bFpMbtcHbtc,badger
0x41671ba1abcba387b9b2b752c205e22e916be6e3,assets,badgerPeak,badger
0x394dcfbcf25c5400fcc147ebd9970ed34a474543,assets,badgerhunt,badger
0x660802fc641b154aba66a62137e71f331b6d787a,assets,badgertree,badger
0xe92261c2d64c363109c36a754a87107142e61b72,assets,balance_checker,badger
0x0c41a8613fbefcc8d6e5df1020dbb336f875247f,assets,bbveCVX-CVX-f,badger
0x937b8e917d0f36edebba8e459c5fb16f3b315551,assets,bbveCVX-CVX-f,badger
0x5dce29e92b1b939f8e8c60dcf15bde82a85be4a9,assets,bcrvBBTC,badger
0x8c76970747afd5398e958bdfada4cf0b9fca16c4,assets,bcrvHBTC,badger
0xae96ff08771a109dc6650a1bdca62f2d558e40af,assets,bcrvIbBTC,badger
0xf349c0faa80fc1870306ac093f75934078e28991,assets,bcrvOBTC,badger
0x55912d0cf83b75c492e761932abc4db4a5cb1b17,assets,bcrvPBTC,badger
0x6def55d2e18486b9ddfaa075bc4e4ee0b28c1545,assets,bcrvRenBTC,badger
0xd04c48a53c111300ad41190d63681ed3dad998ec,assets,bcrvSBTC,badger
0xb9d076fde463dbc9f915e5392f807315bf940334,assets,bcrvTBTC,badger
0xbe08ef12e4a553666291e9ffc24fccfd354f2dd2,assets,bcrvTricrypto,badger
0x27e98fc7d05f54e544d16f58c194c2d7ba71e3b5,assets,bcrvTricrypto2,badger
